

🇭🇰🇲🇴丨港澳台,#genre#
TVB翡翠,http://1b6467f415.iok.la:113/tsfile/live/1053_1.m3u8$高清1080P
TVB翡翠,http://113.64.147.201:808/hls/67/index.m3u8$高清1080P
TVB翡翠华丽,http://23.237.10.66:16410$高清1080P
TVB明珠,http://113.64.147.121:808/hls/26/index.m3u8$标清576P
TVB明珠,http://113.64.147.116:808/hls/26/index.m3u8$标清576P
TVB明珠,http://113.64.147.73:808/hls/26/index.m3u8$标清576P
TVB星河,http://183.239.193.55:2223/hls/6/index.m3u8$高清10800P
TVB星河,http://27.47.68.26:808/hls/35/index.m3u8$高清720P
TVB功夫,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8$高清720P
TVB无线新闻,http://23.237.10.66:16110$高清1080P
TVB无线新闻,https://bcovlive-a.akamaihd.net/38974baa695d47bbb231665ca52b8b3c/us-west-2/5324042807001/playlist.m3u8$高清720P
TVB无线财经,http://111.229.84.232/yulin/tvb.php?id=2$高清720P
TVB无线财经,http://120.84.96.63:808/hls/86/index.m3u8$高清720P
TVB无线财经,http://120.84.96.47:808/hls/86/index.m3u8$高清720P
天映经典,http://120.84.96.47:808/hls/85/index.m3u8$高清1080P
天映经典,http://120.84.96.63:808/hls/85/index.m3u8$高清1080P
澳亚卫视,https://live.mastvnet.com/lsdream/lY44pmm/2000/live.m3u8$标清576P
澳视资讯,http://103.233.191.134:1935/ch5/info_ch5.live/playlist.m3u8$高清720P
澳视资讯,http://103.233.191.133:1935/ch5/info_ch5.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.133:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.134:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视综艺,http://103.233.191.132:1935/ch6/hd_ch6.live/playlist.m3u8$高清720P
澳视Macau,http://61.244.22.4/ch3/ch3.live/chunklist_w1228316132.m3u8$高清720P
澳视Macau,http://61.244.22.4/ch3/ch3.live/playelist.m3u8$高清720P
澳视Macau,http://103.233.191.134:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://103.233.191.132:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://103.233.191.133:1935/ch3/ch3.live/playlist.m3u8$高清720P
澳视Macau,http://61.244.22.4/ch3/ch3.live/index.m3u8$高清720P
澳视澳門,http://103.233.191.134:1935/ch1/ch1.live/playlist.m3u8$高清720P
澳视澳門,http://103.233.191.133:1935/ch1/ch1.live/playlist.m3u8$高清720P
澳门莲花,http://nettvpro.live/hls/lotustv.php$高清1080P
澳门莲花,http://anren.live/HK/BiIOU11uLA.m3u8$高清1080P
澳门莲花,https://p.ggiptv.com/v/macaulotustv.php$高清720P
澳视体育,http://103.233.191.132:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
澳视体育,http://103.233.191.133:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
澳视体育,http://103.233.191.134:1935/ch4/sport_ch4.live/playlist.m3u8$高清720P
AXM,http://iptv.everydaytv.top/taiwanlive.php?id=54$高清1080P
AXM,http://218.32.47.179:18558/.m3u8$高清1080P
CINEMAX,http://iptv.everydaytv.top/taiwanlive.php?id=55$高清1080P
TVBS新闻,https://epg.pm/stream/b25d1fa77951f24d82b6f83f0a6eb8e9a9d4f22fc734ff47c86e3ac7a9d3e65a.m3u8$高清1080P
TVBS新闻,https://epg.pm/stream/215ede58359c29ec190657d813abcc47baf7316e7ed87c97638c7bb733df304a.m3u8$高清1080P
TVBS新闻,https://epg.pm/stream/472a4d7fa23f959fa1dcb24e36ec10d6ae18d6cb906e6d655991d3932f7e34d0.m3u8$高清1080P
TVBS新闻,rtmp://59.124.75.150/sat/tv551$高清720P
TVBS新闻,rtmp://59.124.75.138/sat/tv551$高清720P
TVBS欢乐,rtmp://59.124.75.150/sat/tv421$高清720P
TVBS欢乐,rtmp://59.124.75.138/sat/tv421$高清720P
私人影院,http://113.64.147.13:808/hls/57/index.m3u8$高清720P
东森综合,http://218.32.47.179:18524/.m3u8$高清1080P
东森新闻,http://iptv.everydaytv.top/taiwanlive.php?id=38$高清720P
东森财经,rtmp://59.124.75.150/sat/tv571$高清720P
东森财经,rtmp://59.124.75.138/sat/tv571$高清720P
东森财经,http://iptv.everydaytv.top/taiwanlive.php?id=44$高清720P
东森超视,rtmp://59.124.75.138:1935/sat/tv331$高清720P
